Verse Number,Verse Text,
11,"Nuenu bantu babi, nudi nupesha bana benu bintu bimpe. Tatu wenu udi mu diulu kena mua kupesha badi bamulomba bintu bimpe bipite anyi?",
12,"— Enzelayi bakuabu bionsu binudi basue bua banuenzele. Ke bidi mikenji ya Moshe mufundila, ke bidi bambi banulongesha.",
13,"— Buelelayi ku mushiku wa mbelu mubumbakane. Bualu mushiku wa mbelu mubaluluke, ne njila mualabale, ke bidi bifikisha bantu ku kabutu. Bantu bavule badi bendela mu njila amu.",
14,"Kadi mushiku wa mbelu mubumbakane, ne njila mufimpakane, ke bidi bifikisha bantu ku muoyi. Amu bantu bakese ke badi bendela mu njila amu.",
15,"— Nuadimukilayi bambi ba dishima. Badi bafika kunudi, badileja bu mikoku, kadi munda muabu bikale nyama midianganyi.",
16,"Nenubamanyine anu ku malu adibu benza. Kabatu bapola tumuma tua mutshi wa nwinyo ku mingonga, nansha bimuma bia mfiku ku muonji wa mpesa.",
17,Mutshi muimpe onsu udi ukuama bimuma bimpe; kadi mutshi mubi udi ukuama bimuma bibi.,
18,"Mutshi muimpe kawena mua kukuama bimuma bibi, kabidi mutshi mubi kawena mua kukuama bimuma bimpe to.",
19,"Mutshi onsu udi kauyi ukuama bimuma bimpe, nebaukose, bawele muiku.",
20,Nenku nenumanyine bambi ba dishima ku malu adibu benza.,
21,"— Bantu badi bambikila ne: “Mfumu, Mfumu,” kabena babuela bonsu mu Bukalenga bua mu diulu to, amu badi benza tshidi Tatu wanyi udi mu diulu musue.",
22,"Pafika dituku dia tshilumbuluilu, ba bungi nebangambe ne: “Mfumu, Mfumu, tuvua bamanyishe bantu malu a Mvidi Mukulu mu dina diebe, tuvua bipate mikishi mibi mu dina diebe, kabidi tuvua benze bishima bia bungi mu dina diebe!”",
23,"Kadi dituku adi, nembajukuile ne: “Meme tshiena munumanye to! Nudi bena buenzayi! Umbukayi kundi!”",
24,"— Nenku muntu yonsu udi unteleja, wenza bindi ngamba ebi, neafuanangane ne muena lungenyi, uvua muibake nzubu wende pa dibue.",
25,"Mvula kuloka, misulu kuwula kupasalalangana, tshipepele kutuuta bikole ku nzubu. Kadi nzubu nansha kushimbuka, bualu bavua bamuibake pa dibue.",
26,"Kadi muntu yonsu udi mumvue miaku yanyi eyi, kayi wenza tshindi ngamba, neafuanangane ne muntu udi kayi ne lungenyi, uvua muibake nzubu mu lusenga.",
27,"Mvula kuloka, misulu kupasalala, tshipepele kutuuta bikole ku nzubu. Nzubu kushimbuka, kubutuka butubutu.",
28,"Yezu ujikija kuakula, bantu kushala bapuwe, bualu miaku yende ivua ibatuila ku muoyi.",
29,"Bualu Yezu kavua ulongesha bu balongeshi bakuabu ba mikenji, uvua ulongesha ne bumfumu.",
1,"Yezu upueka ku mukuna, bantu musumba munene kumulonda.",
2,"Muena nsudi kusemena kudiye, kutua binu kumpala kuende, wamba ne: Mfumu, bu wewe musue, udi mua kujikija disama dianyi.",
3,"Yezu kuolola tshianza, kumulenga, wamba ne: Ndi musue, disama diebe dijike! Diakamue disama diende dia nsudi kujikadi.",
4,"Pashishe Yezu kumuambila ne: Teleja bimpe: kuambidi muntu bualu ebu to. Kadi uye kudileja kudi mutuangaji bua ajadike muukadi. Pashishe ulambule mulambu uvua Moshe muambe, bua bantu bonsu bajadike ne: disama diebe ndijike.",
5,"Pavua Yezu ubuela mu Kefamawume, mulombodi wa bena myita ba bena Rome, kusemena kudiye, umulomba diambuluisha,",
6,"wamba ne: Mfumu, muena mudimu wanyi mmulale mu nzubu ne disama dia tuneke, ukenga bikole.",
7,Yezu kumuambila ne: Nenye kujikija disama diende.,
8,"Mulombodi kuamba ne: Mfumu, tshiena mukumbane bua wewe kubuela mu nzubu muanyi to. Kadi tuma amu diyi, disama dia muena mudimu wanyi nedijike.",
9,"Meme ndi ku bumfumu bua bantu bakuabu, kabidi ndi ne bena myita bandi ntumina diyi. Ndi ngamba ewu ne: “Yaku!” udi uya; ndi ngambila mukuabu ne: “Lua kuneku!” udi ulua. Pandi ngambila muena mudimu wanyi ne: “Enza mudimu ewu!” udi wenza.",
10,"Yezu umvua miaku ayi, kukemaye. Kuambilaye bantu bavua bamulonda ne: Ndi nnuambila bulelela ne: tshiena muanji kumona muntu ne ditaba dia mushindu ewu munkatshi mua bena Izrayele",
11,"Ndi nnujadikila ne: bantu bavule nebafume luseke ludi diba dipatukila, ne ludidi dibuelela, basombe ne Abrahame, Izake, ne Yakobe mu Bukalenga bua mu diulu.",
12,"Kadi bantu bavua mua kuikala mu Bukalenga, nebabimanshe pambelu mu midima, muaba udibu badila, basumakaja menu.",
13,"Pashishe Yezu kuambila mulombodi wa bena myita ne: Pingana kuebe, nebikuenzekele bu mudi ditaba diebe. Disama dia muena mudimu wa mulombodi kujika amu diba mene adi.",
14,"Yezu kuya ku nzubu kua Petro. Kusanganaye mamuenende wa Petro mu bulalu, usama mubidi luya.",
15,"Yezu kumulenga tshianza, mubidi luya kumushila muaba. Nanku kujukaye, kutuadija kubakuatshila mudimu.",
16,"Dilolu kutuadilabu Yezu bantu bavule bavuabu batatshisha kudi mikishi mibi. Yezu kuipata mikishi mibi ayi ku bukole bua diyi diende, kujikija kabidi masama a bonsu bavua kabayi bumvua bimpe.",
17,"Uvua wenza bionsu ebi bua kukumbaja bivua muambi Yeshaya muambe ne: “Kudiambuilaye butekete buetu; kutumushilaye masama etu.""",
18,"Yezu umona bantu ba bungi bamuela munkatshi, kuambilaye balongi bende ne: tusabukayi dishiya dia dijiba.",
19,"Ke mulongeshi wa mikenji kusemena kudiye, umuambila ne: Mulongeshi, nenkulonde kuonsu kuwaya.",
20,"Yezu kumuandamuna ne: Nyama ya mibuabua idi ne miaba ya kulala, nyunyi ya kulu ne masua ayi, kadi Muana wa muntu kena ne muaba udiye mua kuikisha, kulala.",
21,"Mulongi wende mukuabu kumuambila ne: Mfumu, ndi nkulomba bua nganji kuya kujika tatu.",
22,"Yezu kumuandamuna ne: Katuye, lekela bafue bajike bafue babu.",
23,"Yezu kubuela mu buatu, balongi bende kuya nende.",
24,"Diakamue tshipepele tshikole kujuka mu dijiba, mavuala kubuikila buatu, kuwulabu mayi tente. Kadi Yezu uvua amu mulale.",
25,"Balongi bende kumubisha, bamuambila ne: Mfumu, utusungile, tudi mua kufua!",
26,"Yezu kubakonka ne: Tshinudi nutshina ntshinyi? Ditaba dienu ndikese ditambe! Ke Yezu kujuka, kukanyina tshipepele, ne mayi a dijiba. Kubatamabi bataa. ",
27,"Kukemabu bonsu, bebejangana ne: Ewu mmuntu kaayi udibu bitaba ne kudi tshipepele, ne kudi mayi a dijiba?",
28,"Yezu ufika dishiya dia dijiba, mu buloba bua bena Ngadara, kusambakenaye ne bantu babidi bavua bapatuka mu nkita. Bantu aba bavua babatatshisha kudi mikishi mibi. Bavua ne lonji lukole, muntu kayi mua kupita mu njila awu to.",
29,"Ke bobu kuela mbila ne: Muana wa Mvidi Mukulu, butudi nebe mbunganyi? Udi mufike bua kutunyoka, diba kadiyi dianji kukumbana, bua tshinyi?",
30,"Pabuipi ne muaba awu pavua tshisumbu tshinene tshia ngulube, ikeba biakudia.",
31,"Mikishi mibi kulomba Yezu ne: Paudi utuipata, ututume mu tshisumbu tshia ngulube etshi.",
32,"Yezu kuitaba ne: Ndayi. Mikishi ivua bantu babidi aba nayi kupatuka, kubuela mu ngulube. Diakamue tshisumbu tshia ngulube kupulumuka pa tshibungubungu, kudiela mu dijiba, kufila mu mayi.",
33,"Bantu bavua balama ngulube kunyema, kuya mu tshimenga, kulonda malu onsu, ne bualu mene buvua buenzekela bantu babidi bavua ne mikishi mibi.",
34,"Ke bena mu tshimenga bonsu kuya kusambakena ne Yezu. Bamumona, kumusengelelabu bua kumukaye mu buloba buabu.",
1,"Yezu kubuela mu buatu, kupingana dishiya dia dijiba. Kuyaye mu tshimenga tshiabu.",
2,"Bantu kufika ne muena tuneke muladike pa bulalu. Yezu umona ditaba dia bantu abu, kuambilaye muena tuneke ne: Muananyi, kolesha muoyi! Mibi yebe mmimane kujimina!",
3,Ke balongeshi bakuabu ba mikenji kuambilangana ne: Muntu ewu udi upenda Mvidi Mukulu!,
4,"Yezu umanya meji avuabu bela, kubakonkaye ne: Nudi nuela meji mabi munda muenu bua tshinyi?",
5,"Tshidi tshitekete mua kuamba ntshinyi: “Mibi yebe mmimane kujimina,” anyi “Juka, enda?”",
6,"Kadi ndi musue bua numanye ne: Muana wa muntu udi ne bukole bua kujimija mibi pa buloba. Ke Yezu kuambila muena tuneke ne: Juka, ambula bulalu buebe, pingana kuebe!",
7,"Muntu awu kujuka, kuya kuende.",
8,"Bantu bamona bualu abu, kutshinabu bikole. Kutumbishabu Mvidi Mukulu, bualu mmupeshe bantu bukole bua mushindu ewu.",
9,"Yezu kumuka muaba awu, kumona muntu musombe ku nzubu kuvuabu balambuila bitadi. Dina dia muntu awu mMatayi. Yezu kumuambila ne: Undonde! Nanku Matayi kujuka, kumulonda.",
10,"Ke Matayi kuakidila Yezu ku nzubu kuende. Balambuishi ba bitadi ba bungi, ne bantu bakuabu kabidi bavua ne lumu lubi, kufikabu bua kudia ne Yezu, kabidi ne balongi bende, ku mesa.",
11,"Baparushe bamona nanku, kukonkabu balongi ba Yezu ne: Mudi mfumuenu udia ne balambuishi, kabidi ne bena buenzayi mmunyi?",
12,"Yezu umvua nanku, kubandamuna ne: Bantu badi ne bukole bua mubidi, kabena bakengela munganga to. Anu badi basama ke badi bamukengela.",
13,"Nuye kuela meji bua kumvua tshidibu bafunde mu Mukanda wa tshijila ne: “Ndi musue bua nufuilangane luse. Tshiena njinga bua nundambule nyama nansha.” Bualu tshiena umvue bua kubikila bantu bimpe, kadi anu babi.",
14,"Ke balongi ba Yowanane-Batiste kusemena kudi Yezu, bamukonka ne: Tuetu ne Baparushe, tudi tujila biakudia misangu mivule. Kadi balongi bebe kabena babijila bua tshinyi?",
15,"Ke Yezu kubakonka ne: Nudi nuela meji ne: bantu batshidi basomba ne musedianganyi mu tshibilu tshia dibaka, badi mua kubungama anyi? Nansha kakese! Kadi matuku adibu bumusha musedianganyi, nebajile biakudia.",
16,Muntu kena mua kulamika tshitetela tshia ku tshilamba tshipiatshipia ku tshilamba tshikulukulu to. Bualu tshitetela etshi netshipande tshilamba tshikulukulu. Nanku muaba uvua mupandike neudiunde.,
17,"Kabidi kabena mua kuela maluvu a nwinyo mapiamapia mu milondu ya biseba mikulukulu to. Bualu milondu ya biseba neyitayike, maluvu apumuke. Nanku milondu neyinyanguke. Kadi bua kulama bionsu bibidi bimpe, badi bela maluvu mapiamapia mu milondu ya biseba mipiamipia.",
18,"Patshivua Yezu ubambila malu awu, mfumu kampande wa bena Yuda kufika. Kutuaye binu kumpala kua Yezu, umuambila ne: Muananyi wa bakaji utshidi ukula muoyi amu mpindiewu. Katuye, umutenteke tshianza. Nanku neapete muoyi.",
19,"Ke Yezu kujuka, kulonda mfumu awu, pamue ne balongi bende.",
20,"Mukaji mukuabu uvua ukenga ne disama dia mashi a muyeya bidimu dikumi ne bibidi. Kusemenaye panyima pa Yezu, kulengaye ku luzemba lua tshilamba tshiende.",
21,"Uvua wela meji ne: “Meme mulenge anu ku tshilamba tshia Yezu, disama dianyi nedijike.”",
22,"Yezu ukudimuka, umona mukaji awu, kumuambilaye ne: Muananyi, kolesha muoyi! Disama diebe ndimane kujika, anu bua ditaba diebe! Anu pinapu, disama dia mukaji awu kujikadi.",
23,Yezu kufika ku nzubu kua mfumu wa bena Yuda. Kumonaye bimbi ba bisanji  bamane kudilongolola bua kujika muntu uvua mufue. Kumonaye kabidi bantu ba bungi bateka mutoyi.,
24,"Ke kubambilaye ne: Patukayi, muana kena mufue to, mmulale. Bantu abu kumuseka",
25,"Bamane kupatula bantu bonsu pambelu, Yezu kubuela mu nzubu, kukuata muana ku tshianza, muana kujuka.",
26,Lumu lua bualu ebu kumvuika mu ditunga dijima adi.,
27,"Yezu kumuka muaba awu. Bampofu babidi kumulonda, benda bela mbila ne:  Muana wa Davide, utufuile luse!",
28,"Yezu mumane kubuela mu nzubu, bampofu abu kusemena kudiye. Yezu kubakonka ne: — Nudi nuitaba ne: meme ndi mua kuenza bualu ebu anyi? Kumuandamunabu ne: Eyowa, Mfumu.",
29,"Ke Yezu kulenga mesu abu, wamba ne: Binuenzekele bu mudi ditaba dienu!",
30,Mesu abu kutabala. Yezu kubakandika ne diyi dikole ne:,
31,Kadi kuyabu kutangalaja lumu lua Yezu mu ditunga dijima adi.,
32,"Patshivuabu baya, kufikabu kudi Yezu, ne muntu uvua kamama, bualu uvua ne mukishi mubi.",
33,"Anu Yezu wipata mukishi mubi awu, kamama kutuadija kuakula. Bantu bonsu kukema bikole, bamba ne: Katshia katuena banji kumona bualu bua mushindu ewu mu Izrayele!",
34,"Kadi Baparushe kuamba ne: Muntu ewu udi wipata mikishi mibi ayi, bualu mmupete bukole kudi mfumu wa mikishi mibi!",
35,Yezu uvua upitshila mu bimenga bionsu ne mu misoku yonsu. Uvua ulongesha mu nzubu ya kutendelela ya bena Yuda. Uvua wenda wambila bantu Lumu lua Disanka lua Bukalenga bua Mvidi Mukulu. Uvua ujikija masama ne matekete onsu a bantu.,
36,"Ke Yezu kumvua luse bua bungi bua bantu bavuaye mumone, bualu bavua bapungile, bakengakana, bu mikoku idi kayiyi ne mulami.",
37,"Nanku Yezu kuambila balongi bende ne: Bintu bia kunowa bidi bia bungi, kadi bena mudimu badi mua kubinowa mbakese.",
38,"Lombayi kudi muena budimi, bua atume bena mudimu bakumbane bua kubinowa.",
1,"Yezu kubikila bapostolu bende dikumi ne babidi, kubapa bukole bua kuipata mikishi mibi, kabidi bua kujikija masama onsu ne matekete a bantu.",
2,"Mena a bapostolu dikumi ne babidi adi nunku: wa kumpala ke Simone, uvua ne dina dikuabu dia Petro, ne muanabu Andre; Yakobe ne muanabu Yowanane, bonsu babidi bana ba Zebede;",
3,"Filipe ne Bartolmayi; Tomase ne Matayi, mulambuishi wa bitadi; Yakobe muana wa Alfayi, ne Tadeyi;",
4,"Simone, uvua mu tshisumbu tshia baluidi ba ditunga, ne Yudase Iskariyote, uvua mupangile Yezu.",
5,"Yezu kutuma bapostolu bende dikumi ne babidi aba, ubambila bivuabu ne bua kuenza ne: Kanuyi mu matunga a bantu badi kabayi bena Yuda, kanubuedi mu bimenga bia bena Samariya.",
6,Nuye nangananga kudi mikoku mijimine ya mu tshisamba tshia bena Izrayele.,
7,"Panuaya, nulongeshe bantu, nubambile ne: “Bukalenga bua mu diulu bukadi pabuipi!”",
8,"Nujikije masama a babedi, nubishe bafue, numushe nsudi ya badi nayi, nuipate mikishi mibi. Bavua banupa bionsu tshianana, nupangane kabidi tshianana.",
9,"Kanuangatshi tshiamu tshia mpawungi, nansha tshiamu tshitoke tshia mushinga mukole, nansha makuta a biamu mu bibombi bienu.",
10,"Kanuyi ne tshibuta tshia luendu, kanuyi ne mutelu mukuabu, nansha ne bisabata, nansha ne dikombu dia luendu. Bualu muena mudimu udi ne bua kupeta biakudia biende.",
11,"Panuafika mu tshimenga, nansha mu musoku, nukebe muntu wa disanka udi mua kunuakidila bimpe. Nushale kua muntu awu, too ne panudi numuka.",
12,"Panuabuela mu nzubu, nuambe ne: “Bupole buikale mu nzubu emu.""",
13,"Pikala bena mu nzubu amu banuakidila bimpe, muoyi wenu wa bupole neushale kudibu. Kadi pikalabu babenga kunuakidila, muoyi wenu wa bupole Mupingane kunudi.",
14,"Mu nzubu yonsu, nansha mu tshimenga, muikalabu babenga kunuakidila, nansha kunuteleja, nupatukemu. Kadi nututule lupuishi lua ku makasa enu.",
15,"Ndi nnuambila bulelela ne: dituku dia tshilumbuluilu, Mvidi Mukulu neanyoke bena tshimenga etshi bipite dinyoka dia bena Sodome ne bena Ngomore.",
16,"— Telejayi! Ndi nnutuma bu mikoku munkatshi mua nkashama. Nanku nuikale ne budimu bu bua nyoka, kabidi ne muoyi mulenga bu wa nyunyu wa nkudimba.",
17,"Nudimuke, bualu bantu nebanufile ku bilumbuluilu binene, kabidi nebanukumishe mikaba mu nzubu yabu ya kutendelela.",
18,"Nebaye nenu kudi balombodi ne bakalenga ba matunga bualu buanyi, bua nuenu kujadika bulelela buanyi kumpala kuabu, ne kumpala kua bantu badi kabayi bena Yuda.",
19,"Pikalabu baye nenu kumpala kua balumbuluishi, kanupampakanyi bua tshinudi ne bua kuamba, ne bua mushindu unudi ne bua kuakula. Nenupete tshia kuamba anu diba adi.",
20,"Nanku nuenu, kanuakuamba bualu, kadi Mueyelu wa Tatuenu newakuile munda muenu.",
21,Bantu nebafile bana babu bua kubashipabu. Baledi nebenze bia momumue ne bana babu balela. Bana pabu nebatombokele baledi babu; nebabashipeshe.,
22,"Bantu bonsu nebanukine, bualu nudi nungitabe Kadi wananukila ne ku ndekelu, nebamusungidile.",
23,"Panukengeshabu mu tshimenga kampande, nuye kusokomena mu tshikuabu. Ndi nnujadikila bulelela ne: Muana wa muntu neafike, kanuyi banji kujikija mudimu wenu mu bimenga bionsu bia bena Izrayele.",
24,Mulongi kena mua kupita mulongeshi wende. Muena mudimu kena mua kupita mfumuende.,
25,"Mbimpe mulongi ikale bu mulongeshi wende, muena mudimu bu mfumuende. Pikalabu binyika mfumu wa diku ne: Belzebule nanku bena diku mene nebabinyike mena mapite bubi.",
26,"— Nenku kanutshinyi bantu to. Bualu busokome buonsu nebumanyike. Bualu budi bantu kabayi bamanye, nebabumanye.",
27,"Bualu bundi nnuambila mu midima, nubuambe patoke; bunudi numvua bamba mu musokoku, nubuambe, bantu bonsu bumvue.",
28,"Nenku kanutshinyi bantu badi bashipa mubidi, kadi kabayi mua kushipa muoyi. Nutshine nangananga Mvidi Mukulu, udi mua kujimija diakamue mubidi ne muoyi mu kandondu.",
29,"Nyunyi ya mishamisha ibidi, kabena bayisumbisha ku dikuta dimue anyi? Kadi nansha umue wa kudiyi kena mua kupona panshi, Tatuenu Mvidi Mukulu kayi mumanye.",
30,Kadi nuenu mimanye ne: nansha nsuki yenu idi mibadika yonsu.,
31,Nanku kanutshinyi to. Nudi bapite nyunyi ya mishamisha mivule mushinga!,
32,"— Muntu yonsu udi wamba kumpala kua bantu ne: ndi wa Kristu, meme kabidi nemmuambe ne: ngwanyi, kumpala kua Tatuanyi udi mu diulu.",
33,"Kadi muntu yonsu udi unwila kumpala kua bantu, meme kabidi nemmuvile kumpala kua Tatuanyi udi mu diulu.",
34,"— Kanuedi meji ne: ndi mufike bua kubueja bupole pa buloba. Tshiena mufike bua kubueja bupole, kadi anu myita.",
35,"Ndi muvue kusongakaja nsongalume ne tatuende, nsongakaji ne mamuende, mukaji wa muana ne mamuenende.",
36,Baluishi ba muntu nebikale anu bena diku diabu.,
37,"— Muntu udi unanga tatuende nansha mamuende bipite mudiye munnange meme, kena mungakanyine to. Muntu udi unanga muanende wa balume nansha wa bakaji bipite mudiye munnange meme, kena mungakanyine meme to.",
38,"Muntu udi kayi wambula mutshi wende mutshiamakane, kayi undonda, kena mungakanyine meme to.",
39,"Muntu udi musue kudilamina muoyi wende, neaujimije. Kadi udi ujimija muoyi wende bualu buanyi, neaupete.",
40,"— Muntu udi unuakidila, udi ungakidila meme. Udi ungakidila, udi wakidila ewu udi muntume.",
41,"Muntu udi wakidila muambi wa Mvidi Mukulu, bua padiye muambi, neapete difutu didibu bapesha muambi. Muntu udi wakidila muntu wa Mvidi Mukulu, bua padiye muntu wa Mvidi Mukulu, neapete difutu didibu bapesha muntu wa Mvidi Mukulu.",
42,"Ndi nnujadikila bulelela ne: muntu udi upa umue wa ku bakese banyi aba nansha dikopu dia mayi matalale, bua padiye mulongi wanyi, kakubula difutu diende to.",
1,"Yezu mumane kuambila balongi bende dikumi ne babidi mikenji eyi, kumukaye muaba awu, kuyaye kulongesha mu bimenga bia mu ditunga. Kumanyishaye bantu Lumu lua Disanka.",
2,"Yowanane-Batiste uvua mu lukanu. Kumvuaye balonda malu avua Kristu wenza. Kutumaye balongi bende bakuabu kudi Kristu,",
3,"bua kumukonka ne: Wewe ke utuvua bamanye ne: udi ufika, anyi tuindile mukuabu?",
4,"Ke Yezu kubandamuna ne: Nupingane kudi Yowanane, numuambile binudi numvua, ne binudi numona:",
5,"mpofu idi imona, batebuki badi benda, bena nsudi badi bapanda, bena mapapa badi bumvua, bafue badi babika, bapele badi babamanyisha Lumu lua Disanka.",
6,"Muena diakalenga ngudi ungitaba, kayi unwila.",
7,"Balongi ba Yowanane bamane kumuka, Yezu kukonka bantu bua Yowanane ne: Mu tshipela nuvua baye kumona tshinyi? Nuvua bamone lushiba ludibu banyungisha kudi lupepele anyi? Nansha kakese! ",
8,Nanku tshinuvua bakebe kumona ntshinyi? Muntu muvuale bilamba bimpe anyi? Kadi badi bavuala bilamba bimpe badi basomba mu nzubu ya bakalenga ba matunga.,
9,"Kadi unuvua batekemene kumona nnganyi? Muambi anyi? Ndi nnujadikila ne: eyowa, unuvua bamone mmupite ne muambi mene.",
10,"Yowanane ke udibu bamba mu Mukanda wa tshijila ne: “Meme Mvidi Mukulu, ndi ntuma muntu wanyi kumpala kuebe, bua akulongoluele njila.""",
11,"Eyowa, ndi nnujadikila bulelela ne: ku bonsu bavua bamamu balele, kakuena muntu wa buneme mupite Yowanane-Batiste. Kadi udi mushadile ku bonsu mu Bukalenga bua mu diulu, udi mupite Yowanane ku buneme.",
12,"Biangatshile tshikondu tshivua Yowanane-Batiste utuadija kulongesha, Mvidi Mukulu kutuadija kulongolola Bukalenga buende. Kadi too ne ku lelu, bena tshimvundu badi bakeba kukandika bantu, bua kababuitabi.",
13,"Bambi bonsu, ne Moshe mu mikenji yende, too ne ku Yowanane-Batiste, bavua amu bamanyisha bantu Bukalenga ebu.",
14,"Nuenu basue kuitaba tshindi ngamba, numanye ne: Yowanane ke Eliya uvuabu batumanyishe ne: neafike!",
15,Udi ne matshi a kumvua asangane kumvua anyi? Umvue!,
16,"Bena tshikondu etshi, ndi mua kubafuanyikija ne banganyi? Ndi mbafuanyikija ne bana badi basomba mu tshialu, banaya. Ke bamue kuambila bakuabu ne:",
17,"“Tuetu kunuelela nshiba, bua nuje maja, nuenu nansha kuja! Tuetu kunuimbila misambu ya madilu, nuenu nansha kudila!’’",
18,"Yowanane kufika, kayi upita kudia, kayi unua maluvu. Bantu kumuamba ne: “Udi ne mukishi mubi munda!”",
19,"Kadi Muana wa muntu kufika, muikale udia, unua. Ke kumuambabu ne: “Ewu mmudiavi, munu wa maluvu, mulunda wa balambuishi ba bitadi, ne wa bena buenzayi!” Kadi midimu idi Mvidi Mukulu wenza, idi ileja meji mimpe adiye nawu.",
20,"Pashishe Yezu kutuadija kudiwula bena bimenga bavua bamone bishima bivule bivua-ye muenze, bualu kabavua badilengeja to. Ke Yezu kuambila bimenga ebi ne:",
21,"— Wewe, Korazine, udi muena diakabi! Wewe, Betsayida, udi muena diakabi! Bualu bishima bidibu benzele muenu, bu biobi bienzekela mu Tire, ne mu Sidone, bena bimenga ebi kuonsu eku bakavua bavuale bilamba bikayapale, badilabe butu, bua kuleja ne: tudi basue kudilengeja.",
22,"Ke pandi nnujadikila ne: dituku didi Mvidi Mukulu ukosa nsambu, dinyoka dia Tire, ne dia Sidone, nedikale dishadile ku dienu.",
23,"Wewe, Kefamawume, udi wela meji ne: neudibandile mu diulu anyi? Nansha kakese! Nebakuele mu kandondu ka buloba. Bualu bishima bidibu benzele muebe, bu biobi bienzekela mu Sodome, tshimenga etshi tshivua mua kuikalaku too ne ku lelu.",
24,"Ke pandi nnujadikila ne: dituku didi Mvidi Mukulu ukosa nsambu, dinyoka dia Sodome, nedikale dishadile ku dienu.",
25,"Tshikondu atshi, Yezu uvua wamba ne: Eyo, Tatu, Mfumu wa diulu ne buloba, ndi nkutumbisha, bualu udi muambile bantu bashadile malu audi musokoke bena meji ne bantu bavua balonga mikanda",
26,"Eyowa, Tatu, ke muuvua musue ne: bienzeke nanku.",
27,"Tatu mmumpeshe bintu bionsu. Kakuena muntu udi mumanye Muana, anu Tatu nkayende. Kakuena muntu udi mumanye Tatu, amu Muana nkayende, kabidi ne bonsu badi Muana musue kumanyisha Tatu.",
28,"Vuayi kundi, nuenu bonsu badi bapungile ne bujitu bunudi nuambula. Meme nelumpeteshe dikisha.",
29,"Ambulayi bujitu buanyi pambidi penu. Nuanyishe bua meme kunulongesha, bualu ndi mupole ne mupuekele ku muoyi. Nanku nenupete dikisha mu mioyi yenu.",
30,"Bujitu bundi nnupesha, nebunulengelele. Bujitu bundi nteka pa makaya enu, budi bupepele.",
1,"Matuku mamane kupita, Yezu kupitshila mu madimi a ntete ya kuenza bukula dituku dia Dikisha. Balongi bende bavua ne nzala. Kutulabu miepu, kudiabu ntete.",
2,"Baparushe bamona nanku, kuambilabu Yezu ne: Tangila, balongi bebe badi benza bualu, budi mikenji yetu mikandike dituku dia Dikisha.",
3,"Yezu kubandamuna ne: Kanuena babale tshivua Davide muenze dituku dikuabu, pavua nzala mibasume, yeye ne bantu bende, anyi? ",
4,"Uvua mubuele mu nzubu wa Mvidi Mukulu. Yeye ne bantu be nde kudia mampa avuabu balambule Mvidi Mukulu. Kabavua ne dianyisha dia kudia mampa awu to. Mikenji yetu idi yamba ne: mampa awu, badi mua kuadia anu kudi batuangaji nkayabu.",
5,"Kanuena babale kabidi mu mikenji ya Moshe mudi batuangaji mu nzubu wa Mvidi Mukulu bakuata mudimu, nansha dituku mene dia Dikisha. Nanku kabena balame mikenji ya dituku dia Dikisha to. Kadi kabena ne tshilumbu nansha.",
6,Kadi ndi nnujadikila ne: unudi nende apa mmupite ne nzubu wa Mvidi Mukulu!,
7,"Bu nuenu bumvue mene tshidi miaku ya mu Mukanda wa tshijila yamba ne: “Ndi njinga bua nuikale ne luse, tshiena ndomba bua nundambule milambu nansha, ” kanuvua mua kudiwula bantu badi kabayi ne bualu.",
8,Bualu Muana wa muntu udi mfumu wa dituku dia Dikisha.,
9,"Yezu umuka aku, kuyaye mu nzubu wabu wa kutendelela.",
10,"Muntu uvuamu, muikale ne tshianza tshifulame. Bantu bavua muaba awu, bavua bakeba mua kufunda Yezu ne: mmuenze bibi. Ke pavuabu bamukonka ne: Mikenji yetu idi yanyisha bua bajikije disama dia muntu dituku dia Dikisha anyi?",
11,"Yezu kubebeja ne: Muntu wa kunudi, yeye muikale ne mukoku amu umue, wowu mukuluke mu tshiina tshile dituku dia Dikisha, kena mua kuya kuupatula mu tshiina amu anyi?",
12,Kadi muntu udi mupite mukoku! Nanku mikenji yetu idi yanyisha bua tuambuluishe muntu dituku mene dia Dikisha.,
13,"Nanku Yezu kuambila muntu awu ne: Olola tshianza tshiebe. Yeye kolola tshianza, kushalatshi tshimpe bu tshikuabu.",
14,"Ke Baparushe kupatuka mu nzubu, kuya kuelela Yezu tshifufu, bua kumanya muvuabu mua kumushipesha.",
15,"Yezu umvua lumu lua tshifufu atshi, kumukaye muaba awu. Bantu bavule kumulonda. Yezu kujikija masama a bantu bonsu.",
16,Kadi kubakandikaye bikole bua kabambidi muntu ne: Yezu udi nganyi.,
17,Ke muvua miaku ivua Mvidi Mukulu mumanyishe muambi Yeshaya ikumbana ne:,
18,"“Ke muntu wanyi undi musungule. Ndi mumunange. Yeye kabidi udi unsankisha. Nemmupe Mueyelu wanyi. Neamanyishe bukua bisamba, mundi ndumbuluisha bantu.",
19,Kakutanda ne muntu. Kukuela mbila. Bantu kabakumumvua wenza mayuki ne diyi dikole mu misesu.,
20,"Dilenga dibendame, kakuditshibula. Kakujima muendu utshidi ne kapia kakese. Neenze nanku too ne padi malu mimpe andi musue, atshimuna panu.",
21,Bisamba bionsu nebitekemene kudiye.”,
