Verse Number,Verse Text,
20,"umuambila ne: Juka, angata muana ne mamuende, upingane nabu mu ditunga dia bena Izrayele. Bualu bantu bavua bakeba kushipa muana mbamane kufua.",
21,"Nanku Yozefe kujuka, kuangata muana ne mamuende, kupingana nabu mu ditunga dia bena Izrayele.",
22,"Kadi Yozefe kumvua lumu ne: Arkelawuse  mmushale mukalenga wa ditunga dia Yudeya, mupingane tatuende Erode. Nanku Yozefe kumvua bowa bua kuya kusomba mu Yudeya. Mumane kumvua mu tshilota tshivuaye ne bua kuenza, kuyaye mu buloba bua Ngalileya.",
23,"Kusombaye mu tshimenga tshiyuabu binyika ne: Nazarete. Bionsu ebi bivua bienzeka bua kukumbaja diyi divua bambi bamba ne: “Nebamuinyike ne: mmuena Nazarete.""",
1,Tshikondu atshi Yowanane-Batiste kuya mu tshipela tshia Yudeya.,
2,"wamba ne: Kudimunayi mioyi yenu,",
3,Yowanane ke muntu uvuabu batele kudi muambi Yeshaya ne:,
4,"Yowanane uvua uvuala bilamba bia miosa ya nyama wa kamelu, usuika mukaba wa tshiseba mu tshimonu.",
5,"Diba adi bantu bavua basomba mu Yerushalayime, mu ditunga dijima dia Yudeya, ne mu misoku yonsu ivua pabuipi ne Yardene, kuyabu kudi Yowanane.",
6,"Bantu abu bavua batonda mibi yabu, bantu bonsu bumvue. Nanku Yowanane uvua ubatua mu mayi a Yardene.",
7,"Yowanane umona baparushe ne basaduke bavule bafike kudiye bua abatue mu mayi, kubambilaye ne:",
8,Enzayi malu adi aleja ne: tudi basue kukudimuna mioyi yetu.,
9,"Kadi lekelayi kuela meji ne: “Tudi mua kupanduka ku dinyoka, bualu Abrahame nnkambua wetu.",
10,"Mbamane kulongolola kasuyi bua kukosela mutshi ku miji. Mutshi onsu udi kauyi ukuama tshimuma tshimpe, nebaukose, bawela mu kapia.",
11,"Meme ndi nnutua mu mayi bua nukudimune nsombelu wenu. Kadi udi undonda panyima, neanutue mu Mueyelu wa Tshijila ne mu kapia. Yeye udi ne bukole, mumpite meme. Meme tshiena mukumbane nansha bua kumukopola bisabata biende.",
12,Yeye ke udi ne lubenji,
13,"Tshikondu atshi Yezu uvua utumina ku ditunga dia Ngalileya, uya ku musulu wa Yardene. Kufikaye kuvua Yowanane, bua amutue mu mayi.",
14,"Yowanane kubenga, umuambila ne:",
15,Kadi Yezu kumuandamuna ne:,
16,"Yowanane mumane kutua Yezu mu mayi, Yezu kupatukamu diakamue. Diulu kubululuka. Yezu kumona Mueyelu wa Mvidi Mukulu upueka bu nyunyu wa nkudimba, umuikila.",
17,"Ke diyi kumvuika mu diulu, diamba ne: Ewu ke Muananyi undi munange. Yeye ke udi unsankisha bikole.",
1,"Pashishe Mueyelu wa tshijila kufikisha Yezu mu tshipela, bua bamutetemu kudi diabolu.",
2,"Yezu mumane kupitshisha matuku makumi anayi a munya ne butuku kayi udia, kushishaye kumvua nzala.",
3,"Diabolu kusemena kudiye, umuambila ne: Pawikala Muana wa Mvidi Mukulu, ambile mabue aa andamuke mampa .",
4,"Yezu kuandamuna ne: Mukanda wa tshijila udi wamba ne: “Muntu kena ne muoyi anu bua mampa nkayawu, kadi nangananga bua diyi dionsu didi Mvidi Mukulu wamba.",
5,"Nanku diabolu kufikisha Yezu mu Yerushalayime, tshimenga tshia tshijila, kumuteka ku musonga wa nzubu wa Mvidi Mukulu,",
6,"umuambila ne: Pawikala Muana wa Mvidi Mukulu, diela panshi; bualu Mukanda wa tshijila udi wamba ne: “Mvidi Mukulu neambile batumibue bende, bakuambule mu bianza biabu, bua kututshi dikasa diebe ku dibue",
7,Yezu kumuandamuna ne: Mukanda wa tshijila udi wamba kabidi ne: “Kutetshi Maweja-Nangila Mvidi Mukulu webe to.,
8,"Diabolu kufikisha Yezu kabidi pa mukuna mule mutumbuke, kumuleja makalenga onsu a pa buloba ne buneme buawu,",
9,"umuambila ne: Nenkupe bionsu ebi, anu pawikala muntuile binu bua kunkukuila.",
10,"Kadi Yezu kumuandamuna ne: Diabolu, umbuka! Bualu Mukanda wa tshijila udi wamba ne: “Kukuila Maweja-Nangila Mvidi Mukulu webe. Umuenzele amu Yeye nkayende mudimu.”",
11,"Diba adi diabolu kumushiya. Batumibue ba Mvidi Mukulu kufika kudi Yezu, kumuenzela mudimu.",
12,"Yezu umvua ne: mbele Yowanane mu nzubu wa lukanu, mbele Yowanane mu nzubu wa lukanu, kumukaye bua kuya mu Ngalileya.",
13,"Kadi kavua mushale mu Nazarete to. Kuyaye kusomba mu Kefamawume, tshimenga tshiyuabu base ku muelelu wa Dijiba dinene dia Ngalileya, mubuloba bua Zebulone ne bua Naftali.",
14,Bionsu ebi bivua bienzeka bua kukumbaja bivua muambi Yeshaya mumanyishe bantu ne:,
15,"“Wewe, buloba bua Zebulone, wewe, buloba bua Naftali, maloba adi dishiya dia Yardene, mu njila wa ku Dijiba dinene, wewe, Ngalileya, muaba udi bantu benyi base!",
16,"Bantu badi basomba mu midima nebamone butooke bunene! Bantu badi basomba mu ditunga dia lufu mu midima, butooke nebubakenkele!”",
17,"Biangatshile tshikondu atshi, Yezu kutuadija kulongesha bantu, wamba ne: — Kudimunayi mioyi yenu, bualu Bukalenga bua mu diulu bukadi pabuipi.",
18,"Pavua Yezu wendakana ku muelelu wa Dijiba dinene dia Ngalileya, kumonaye balobi babidi, bana ba muntu umue. Umue uvua Simone, uvuabu binyika kabidi ne: Petro, mukuabu uvua Andre. Bavua baloba mu dijiba ne bukondu buabu.",
19,"Yezu kubambila ne: Ndondayi, nennuenze balobi ba bantu.",
20,"Diakamue kushiyabu makondu abu, kuyabu nende.",
